education_level,records,high_income_rate,average_age,average_weekly_hours
10th,1389,6.26,37.9,36.99
11th,1812,5.08,32.14,33.95
12th,657,7.31,32.24,35.37
1st-4th,247,3.24,46.64,38.76
5th-6th,509,5.3,43.59,38.92
7th-8th,955,6.49,49.53,39.0
9th,756,5.42,40.9,38.36
Assoc-acdm,1601,25.8,37.78,40.81
Assoc-voc,2061,25.33,38.65,41.66
Bachelors,8025,41.28,38.9,42.48
Doctorate,594,72.56,47.53,46.58
HS-grad,15784,15.86,39.07,40.64
Masters,2657,54.91,44.01,43.58
Preschool,83,1.2,42.2,36.57
Prof-school,834,73.98,45.15,47.58
Some-college,10878,18.96,35.68,38.87
